p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.000162,917.0570740699768,60
 , , ,100,8,128,0.0001475,924.2426657676696,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0001965,930.465847492218,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,64,0.0001385,936.8301022052764,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.0001875,944.6057934761049,60
 , , ,16,16,80,0.000139,951.1864924430848,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.000221,958.4578313827516,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.000152,968.158623933792,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,4,0.0001915,975.3816776275636,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,16,0.0002095,983.257584810257,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.000147,991.60369515419,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.00014,998.8229947090148,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,20,0.000137,1005.6968529224396,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.0002365,1013.245227575302,60
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.0001385,1019.5113306045532,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.000143,1026.8872861862185,60
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.000135,1033.842967748642,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,4,0.0002044999999999,1041.658329963684,60
 , , ,80,16,256,0.000137,1048.0634589195251,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.000169,1054.6100044250488,60
 , , ,100,50,50,0.00013,1061.3081204891205,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,20,0.0001329999999999,1068.0412611961365,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.000224,1075.167282819748,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8,0.000156,1081.728040456772,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.0001729999999999,1089.8549945354462,60
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.0001585,1096.2239389419556,60
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,20,0.000209,1104.242380619049,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.000135,1111.6771116256714,60
 , , ,128,32,128,0.000135,1117.750303030014,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.000202,1125.6716947555542,60
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.000144,1132.8454504013062,60
